,eng_reference,trimmed_segment_path
21,"This can t be good! What should they be if they want to win your heart for this round? They need to have a good performance. And be confident. Have a queen vibe. And also be a model. Mom, I've won this round before. Was that you!? It's been 10 years ago since I won.",combined_clean_all/combined_output_22.wav
22,"I look up like this. I look up like this. Hello, P Ged. I'm telling them that I won this round 10 years ago. Mom, that's harsh. What's the attitude of judges in this swimming suit round? I want to see their perfect performance in their own way.",combined_clean_all/combined_output_23.wav
23,"That means we want to see their personality. Their elegance. And their confidence. I can tell if they are nervous. I see. If they are nervous, they will be too much. Could you please show us a walking step? Shall I?",combined_clean_all/combined_output_24.wav
24,"She said, Should I? I'm drinking a coffee. Please, mom. Oh my god. Do you get goosebumps? I do. Where's the toilet? I need to go. Do you have any tips for posing? How should we pose in a swimming suit? Let me hold you Lady Dior first. Be careful. I rented it.",combined_clean_all/combined_output_25.wav
25,"Wow, so masculine. Sorry, no offense. It's like a Tai Chi dance at the park in the morning. If anyone can pose like this, I'll let her win. What!? Let's be serious. Which kind of person should we choose for this round? I'll speak frankly. We don't want the sexiest person.",combined_clean_all/combined_output_26.wav
26,We don't want. That's all for today. Mom! We want to see someone who's proud of herself. This is the only criteria. No matter how your body is. Just be proud of it and present yourself in the best way.,combined_clean_all/combined_output_27.wav
27,"We don't want comparing. That's cool. Oh, that's a superstar. Superstar. Hello, mom. This is another one who won Best in Swimming Suit. Perfect I've heard that her body is perfect. That's right. The legendary 22-inch waist. This is her waist.",combined_clean_all/combined_output_28.wav
28,"No, it's here. You won Miss Tiffany? Yes, I did. But I won Best in Swimming Suit. I know. Because they choosing someone who looks full. But you still look sexy as always. Listen, if you want to get hips injected. Look! Only Ple BBQ can give you this. That's so real.",combined_clean_all/combined_output_29.wav
29,"Yoshi. Hello mom. Hello, everyone. Do you have any recommendations for the contestants? What's your advice to win this round? First, you need to wear a white dress. Wet look hairstyle. I was giving her a signal to sell my products. She's giving signals. 5-6 How many years? For 5-6 years.",combined_clean_all/combined_output_30.wav
30,"Miss Tiffany Did you know that the winner of Miss Tiffany this year, will be the presenter of my brand. Are you serious? I am. What about me? You're too old. Did you just eliminate me? What's your advice to win this Best in Swimming Suit? It's about swimming suit vibe. I want you to be fun in swimming suit.",combined_clean_all/combined_output_31.wav
31,"You don't need to be just a sexy lady. If you smile and laugh while walking, people will enjoy with you. You will be sexy, cheerful and pretty. What it's like being only sexy? That means you don't smile. 1 2 Let's try. Sexy and a little bit of laughing. Laugh more.",combined_clean_all/combined_output_32.wav
32,"Sexy and laugh a lot. I need to slap my lap. One more time. What makes you feel confident today? Answer properly. To be honest, I feel confident because. I just uploaded a video about it and took it. Because it's estrogen from nature. That's my girl.",combined_clean_all/combined_output_33.wav
33,That's why I feel fresh. I don't feel blank at all. See? You're going to walk now. How do you feel? I'm so nervous now. Trying to control my emotions. Breathe like what mom Cindy taught me. My head is thinking about blogging. Where should I pose and where should I look at the camera? I practiced until half past midnight.,combined_clean_all/combined_output_34.wav
34,"And I'm afraid that I will forget about blogging. What's your best weapon for today? Please tell the audience. My best weapon is my confidence. She's confident. She thinks she's pretty. I think it's my cheerful personality. Yeah, you look sweet.",combined_clean_all/combined_output_35.wav
35,Give me one thing that you can win the judges' hearts. I believe that my clarity can win their hearts. Flick your hair. Flick your pony tail once. That's right. There's something between you two? Nothing. Tell me honestly.,combined_clean_all/combined_output_36.wav
36,"Is it sexually fluid or something? No. There's something between you two. Tell me, whisper to my ear. It's you. What? Why are you guys blushing? It's a sexually fluid. I'm serious. I don't know. OK, then. Let me ask you.",combined_clean_all/combined_output_37.wav
37,"If there's only you two at the finals. Will you let other win? Who will win? I will let her win. Why so? Because you always do your best. That's blushing. Nana, people will think it's real.",combined_clean_all/combined_output_38.wav
38,2022 I'm confused. It's really 2022. Thank you guys. Thank you. Am I beautiful today? I will get back what's mine. What's yours? I don't know. I don't want to film with you.,combined_clean_all/combined_output_39.wav
39,"People will gossip that you've got a hook. No way. I believe that Miss Tiffany is fair. But if I speak as. your senior and co-worker, You are so pretty. Thank you. I've never thought they you were this pretty and came this far. Can you picture that? But as one of the judges,",combined_clean_all/combined_output_40.wav
40,"You need to walk perfectly. Because I choose only the best person. Do you have anything to show me that you're the best? It's my body, see? It's Swimming Suit round. What do you think about your contestant? To be honest, she's getting better. Because I paid her for a walking course.",combined_clean_all/combined_output_41.wav
41,"She gets so much better. Please keep her in mind. I can't! That's fine! There's no friends here. I see. After this, everything needs to be fair. Alright then. Behind the scene, people may think that. Toon might ask me to give points to Kathy. Mom, not yet! But did you know what she told me?",combined_clean_all/combined_output_42.wav
42,"Don't let her in the final, I will lose my assistant. If you want me to eliminate her, I will. Please. If she gets to the black room, she will be eliminated. I won't be sad. I will shout and scream GREAT! I want to eat cotton candy. If you were a judge, what would be your criteria? Walk confidently and don't be shy.",combined_clean_all/combined_output_43.wav
43,"And don't be too playful like Pure. Let me see your pose. You really did eat people because you. Vlog What? I'm Vlogging. One, two, three. Oh, selling. You've got PHERONE. What's your suit color?",combined_clean_all/combined_output_44.wav
44,"I intend to wear a pink suit because I want to please PHERONE. Because PHERONE is the only brand that never hires me. I can't afford your pay-off. This event is free. As I see, you've got the best tip. If you were a contestant, how would you pose in a swimming suit? I heard that you have changed your flight date for this event.",combined_clean_all/combined_output_45.wav
45,"Yes, for this event. That's not true. You just booked the wrong date. No. I paid millions for sponsorship, so I need to be here then I can go. So, please look forward to the beauty contest on the 27th. Let's see if she is crowned or not. Bye! Please keep Pherone in mind. This is Sand, the first runner-up of Miss Tiffany. I'm here to cheer them up.",combined_clean_all/combined_output_46.wav
46,"Lately, I've seen that they have developed. Talk and pose together. Lately, I've seen that they have been so much better. So, I don't have anything to teach them. But two of us slay anyway. She doesn't take PHERONE, so she's a bit confused. Please sponsor me then. Can I say it, P'Jee?",combined_clean_all/combined_output_47.wav
47,"Everyone did a great job. I want to tell that. No, can I say that what inspires you to dress to outshine the contestant? No, actually, I wore the same dress as yours. That's not great. It's eliminated. Luckily, I decided to change. I believe that the audience will scream for you.",combined_clean_all/combined_output_48.wav
48,"Because they afraid that you will fall off. Miss Tiffany, Swimming Suit Round. He's here to see them. ! You are such as player. This is Mr. Techin. He's wearing PHERONE's color. The right shade of pink. Please keep me in mind.",combined_clean_all/combined_output_49.wav
49,"If you look like this, I won't let you take it. But what's that pink wig? That's too much. It's PHERONE. This is the paper for the judge. They ask me to. give points. Pass, Not sure, Not pass.",combined_clean_all/combined_output_50.wav
50,Then write points over here. He can't stop looking at her. Give her points. I'm the judge. You don't. They are all beautiful. Everyone has a perfect body-shape. I can say that their walk and pose is perfect.,combined_clean_all/combined_output_51.wav
51,"Comparing to when I was in the contest, I couldn't beat them. I would be lost. I need to say that Kathy is surprisingly beautiful. From the judge's perspective, she's so beautiful. But from friend and sister's perspective. I can't believe that she is this beautiful.",combined_clean_all/combined_output_52.wav
52,"Anyway, I will follow the contest's criteria. For Fluke, I would say that. I admire her determination and effort. Because he was a gay before. Just started to dress like a woman. And has changed herself and followed her dream.",combined_clean_all/combined_output_53.wav
53,"We don't only see the winner, We also see their determination and effort to achieve their dream. You always keep an eye on her. She's beautiful, isn't she? The staff is waiting for the result. Because this is live. So, we need to announce it now.",combined_clean_all/combined_output_54.wav
54,And choose the winner now. Best In Swimming Suit And the winner of Best In Swimming Suit is. That's great. We've got the winner now. She's Book. She's beautiful from head to toe. Congratulations. Thank you.,combined_clean_all/combined_output_55.wav
55,"The legend of No. 1 and the Best in Swimming Suit. Has happened to us. Oops. No, I believe that you will be crowned. You will be more successful. I'll continue what you've done. Let me speak not in a judge role, We had been in the same company and cried together. When you were disappointed and sad.",combined_clean_all/combined_output_56.wav
56,"Because I understand her feelings. This year is your third time, right? Yes. And you got the first reward of the contest. It's unexpectable. As you know, I was walking a kid in the first year. I can't walk confidently. But I did it this year. I'm not here just to play around.",combined_clean_all/combined_output_57.wav
57,Slayed. And this is Book. She's got the first reward of the contest. Get some rest. Thank you so much. There seems to be some kind of disagreement between us. Techi surprised everyone when she walked out. That's right. She was walking confidently and expressing her feelings.,combined_clean_all/combined_output_58.wav
58,"But I think it's a little bit too much. Let me share some tips. For final round. I want you to bring up your queen vibe, you know. I agree. We're looking forward to cheering them up and giving them points. Thank you P' Cindy for today. Thank you. What do you think about the result?",combined_clean_all/combined_output_59.wav
59,"As expected, mom. You chose No. 1 I did. I chose No. 29 I do like No 29. But she was a bit too much. If talking about hair, it's definitely her. But I will give Book because she is No.1 and she is surely nervous.",combined_clean_all/combined_output_60.wav
60,"But she did a great job. Since you are the senior, what do you think? Everyone did their great job. They are all good. If I was one of this year's contestants. You will be the winner anyway because you have been chosen. I think so. That's all for Best in Swimming suit contest.",combined_clean_all/combined_output_61.wav
61,"Today, as a judge and the main sponsor of the contest. I don't see only the most beautiful person in a swimming suit, I also see everyone in different shape of body. Some tall, some short, some slim, some chubby. But everyone is happy with their own body. The original And it suits the theme The original. Their original appearance and personality.",combined_clean_all/combined_output_62.wav
62,"Because when I was in the contest, I could see that. Some people didn't understand what's proud their bodies. The perfect body needs to be 34-26-38. But it turned out that all 31 contestants of this year. are happy while walking in a swimming suit.",combined_clean_all/combined_output_63.wav
63,"I believe that it will inspire everyone and the next generation. To love their own shape of the body. For me, I'm so happy that today. I'm back here as the judge and the main sponsor of the contest. Don't forget to take care of yourself. As I told you, this year's contestants look so feminine.",combined_clean_all/combined_output_64.wav
64,"No matter how they look, They all look healthy and feminine. Please look forward to the final round on the 27th. Who will be the next Miss Tiffany? I need to tell you that I'm strict. Be well-prepared, ladies. Don't forget to take 2 tablets of Pherone before going to bed. I can't stop selling.",combined_clean_all/combined_output_65.wav
65,"Bye! See ya. I'm giving you a tour of my house today. This is the living room. There'll be a TV and sofa here. But you'll have to use your imagination. because there's nothing yet. It's just concrete. Today, I'm taking Thames and Bambi.",combined_clean_all/combined_output_66.wav
66,"for a swim and a run as well. If they behave today, I'm going to reward them. It's scared. Mommy and Daddy rooting for them closeby. It's a close call. It's time for your reward. Let's go! Let's go get our Christmas presents!",combined_clean_all/combined_output_67.wav
67,"I'm giving you a tour of my house today. It's the house I built for my parents. I meant to live here, but I got married, so. I might come around now and then. Let's go back to Day 1. Hello, I want to give you a tour of the house.",combined_clean_all/combined_output_68.wav
68,"I built for my family today. It started with me buying an old house, which are two adjacent houses. I knocked them down, leaving only this one rain tree. Which is a tree that I really love. So I had the architects. design the house around this rain tree. Then it's time to start construction.",combined_clean_all/combined_output_69.wav
69,"And now, it's starting to take shape! At first, I wanted something modern. So I told the architects, and this is what I got. It's still bare concrete now, though. Hello. She won't. Hello! Hi!",combined_clean_all/combined_output_70.wav
70,Goi oversees everything at the house. She's real sweet! She's always here. to see that everything goes well. Hiding. But she can be a bit shy. We have an honorary cameraman here. and that's Mint Nuttha! That's right. My sister. This is going to be the entry way.,combined_clean_all/combined_output_71.wav
71,"You come in, and there'll be trees everywhere! We'll plant so many trees! That's because my mom loves trees. This is the living room. There'll be a TV and sofa here. But you'll have to use your imagination. because there's nothing yet. It's just concrete.",combined_clean_all/combined_output_72.wav
72,"This is where we'll put the dining table. I'm thinking a ten-seater dining table. And this will be the island. in case we want to cook. Pa, say hi to the camera. Youtuber! I'm a Youtuber!",combined_clean_all/combined_output_73.wav
73,"He's here the most often. It's pretty hard to choose, like this floor here, at first they used wood in their design. The problem is I want real wood, but Mom and Papa don't, since real wood fades easily with rain.",combined_clean_all/combined_output_74.wav
74,"and sunshine. It's hard to maintain. I don't want laminate wood, I want real wood. So in the end, we switched to tiles. Tiles. Done. Papa on is favorite spot on 2nd fl. Take in the atmosphere. come filming him. Showing off.",combined_clean_all/combined_output_75.wav
75,"It'll become my favorite area to chill and relax. It's Papa's idea. He's proud. Mom's idea.Oh, it is mom's idea. This was going to be a fitness, but she changed. Changed again. This is on me. I changed from a fitness, into a living room.",combined_clean_all/combined_output_76.wav
76,This is. This is another spot that. Papa looks at it with pride. I think. 3 on the 3rd floor terrace. You know what we can do about it? What? Solar cell. There's a lot of space. He talked about solar cells from. the design stage. We're in a hot country.,combined_clean_all/combined_output_77.wav
77,"We can utilize the energy at its most effectively. We're going to have a table here. Right, Pa? So we can sit and. relax. That's our concept. If we have dogs, this will be. where they can run around. Give us a presentation, Papa. The best area of the house because.",combined_clean_all/combined_output_78.wav
78,it'll be shady. in the morning and afternoon. I came at all the different time. We are. choosing marbles to be used. for the entrance and the TV. We came all the way to their factory. This is. going to be the star.,combined_clean_all/combined_output_79.wav
79,"You'll see it as your walk into the house. And we'll use it in the living room, where there's a TV. Wait to see how it'll turn out. Day 2 of house inspection. We're planting a tree in the middle here. Does anyone recommend any tall trees?",combined_clean_all/combined_output_80.wav
80,"Please recommend some trees. I'm going to make this the dog room. That way they have room to play. I plan to get more doggies, so I'll need to make room for them. This area is for them to walk around,",combined_clean_all/combined_output_81.wav
81,"to tinkle, take a dump, or something like that. It'll be their area. Oh, and our fitness. Downstairs. What about the study? Nope. No study room. No study. We were going to use this room. It was supposed to be this room. The doggies have taken over.",combined_clean_all/combined_output_82.wav
82,"We'll think it over. This room is the most problematic, because we can't come to a conclusion. At first this room. was supposed to be a fitness. But then we realized. that a gym is not the. most important thing to us. It's actually a living room. So we changed from a gym to a living room.",combined_clean_all/combined_output_83.wav
83,"There's another problem. We had the outlets placed on this side, this glass here. We were going to place the sofa. so it turns to the view. So we're going to put the TV there like before. the sofa here,",combined_clean_all/combined_output_84.wav
84,and maybe some stools here. So that's what we settled with. That's all for today. We're all done. Let's go home. It's getting late. And I'm getting hungry. Bye bye! Next mission. Taking Thames and Bambi for a swim. Oh!,combined_clean_all/combined_output_85.wav
85,"So jumpy! Come on Bambi, this way! Today, I'm taking Thames and Bambi. for a swim and a run as well. If they behave today, I'm going to reward them. Go! Which is Thames, which is Bambi?",combined_clean_all/combined_output_86.wav
86,Bambi! Bambi! Thames is having so much fun seeing friends! Thames greeting new friends. Thames is very excited. -Very excited. Bambi is secluded. Wouldn't play with anyone. Bambi! Oh! It's going to jump. Loves to jump. Thames.,combined_clean_all/combined_output_87.wav
87,"Thames, are you up for it? Thames is never afraid! It's scared. Away I go. Bambi's trying to join the others. Bambi has new friends. How cute! Time for swimming lessons.",combined_clean_all/combined_output_88.wav
88,"Thames swimming crookedly. Everyone's cheering Bambi up. Mew's all dressed up and ready. But Bambi isn't quite ready. Bambi's afraid of the pool. Thames is having fun swimming. Help, Thames! Let's root for Bambi! Oh! Very good!",combined_clean_all/combined_output_89.wav
89,"Good job. So? How are they? I can swim myself? Aren't I good? One, two, three! Mommy and Daddy rooting for them close by. It's a close call. Bambi, quickly! Bambi's taking the lead.",combined_clean_all/combined_output_90.wav
90,"Almost there! Bambi, you're so good! Closer! Come closer! You're so good. Wow. So good. Bambi's shaking. We're done! How did I do?",combined_clean_all/combined_output_91.wav
91,"We're going to put on nice clothes. Let's go put on Christmas outfits, quick! It's almost Christmas, we have to put on Christmas outfits! Thames! Thames, let's go out! Do you want to go out? Bambi wants some. Good girl.",combined_clean_all/combined_output_92.wav
92,It's time for your reward. Let's go! Must race to the presents! We want the presents! Let's go get our Christmas presents! There's the present for us. Let's have Saint check what's inside. See what's inside! Let's open the box together.,combined_clean_all/combined_output_93.wav
93,"One, two, three! Woo! Suprised. Scared. Scared. Bam. You have new treats, are you happy? Bambi's confused. Bambi's confused about this. This Festive Set. is only available this time of year,",combined_clean_all/combined_output_94.wav
94,"around Christmas and New Year. It's a perfect Christmas gift. for your puppies. It can be found at places listed below. Let's see, puppies, what's inside. Quick, let's go. Let's go. There are different kinds to choose from. Let's start with this one,",combined_clean_all/combined_output_95.wav
95,"this one is the Tasty Bites Chewy Cubes. It's chewy. It's suitable as a prize. because it's high in protein. It comes in two flavors, this is beef, and this is lamb. Okay, let's try it. Beef, okay? It smells so good!",combined_clean_all/combined_output_96.wav
96,"Look. Smell it. Here, they come in pieces like this. Taste it. Have a taste. Try it. Try it. It's good. It's so good! Okay, let's try this one. This one, do you want it? This is the Tasty Bites Crunchy Pockets. Milk and chicken flavor.",combined_clean_all/combined_output_97.wav
97,"Right. There's. fifteen healthy nutrients. for dogs. It's crunchy on the outside and soft inside. Little biscuits. with cream filling. Which do you want to taste? How about milk? Here, it's like this. Bambi!",combined_clean_all/combined_output_98.wav
98,"In squares like this. Bite-sized. Whoa. Whoa! This one is enjoying itself. You're a good swimmer, so I let you eat this much. Thames. Oh. Oh. Here's the last one.",combined_clean_all/combined_output_99.wav
99,"This is the Tasty Bites Chewy Bones. This is beef flavored, in the shape of a bone. It's the chewy kind. It's low fat, so it's good for dogs. Do you want to try, Bam? Here. It's bone-shaped.",combined_clean_all/combined_output_100.wav
100,"Bam, that's enough. Bam, one more. If you want to reward your dogs. with such delicious treats, you can buy Tasty Bites. at all supermarkets. and petshops. It's guaranteed to be tasty, right? Right Thames? Right?",combined_clean_all/combined_output_101.wav
101,"It's so good! The puppies have gone home, and now it's my turn to go out to eat. It's Christmas tomorrow, and it'll be New Year, too. This video will be the last of this year, so let me wish.",combined_clean_all/combined_output_102.wav
102,"everyone who's watching Happy Mew. have a happy, happy life. And even happier next year. I wish you much happiness, and I hope you are successful. in everything in life. And most importantly, be careful, stay healthy.",combined_clean_all/combined_output_103.wav
103,"Take care of yourself. for the final days of the year! Please press like, share. and subscribe for me. If you have any comment, please leave them! Bye bye! Last kiss as a farewell! Muah, muah! I'm going to cook today. If I can do it, I'm sure everyone can do it too.",combined_clean_all/combined_output_104.wav
104,"What's up?I peeled the mango yesterday. Did you peel it yourself?Yes. Well done. Very good.Oh, yeah? It looks great. Rated for good intention. How much is 200 grams? Just put it. Good morning, everyone. Because I'm a mommy-to-be.",combined_clean_all/combined_output_105.wav
105,"so I want to have something. healthy to eat. I've checked for some information. And I think if I can cook myself. at home with some easy recipes, it'd be good for my health. Such as almond milk. that you can make it yourself too. I think if I make it myself,",combined_clean_all/combined_output_106.wav
106,"I can have something fresh. and safe for my body too. Therefore, I'm going to cook it myself today. If I can do it, I'm sure everyone can do it too. Alright, let's go to the supermarket. Let's go shopping. We are now at the supermarket. Let's get some almonds. We've already got the mango. Yesterday.",combined_clean_all/combined_output_107.wav
107,"I put it in the freezer.Strawberry. Why do you want the strawberry? Oh, no strawberry needed?No. It's mango yogurt sorbet. We have our assistant with us too. He's a top sous chef. He's coming. Wait and see.Here he comes. Our regular visitor. Pao is going to help us cook today.",combined_clean_all/combined_output_108.wav
108,"Healthy food for mommy-to-be. I will help chopping only. I want some organic yogurt.OK, wait. plain natural yogurt, nothing added. sugar, almonds. Awaiting answer.Awaiting his answer. Moving the trolley. We told him to do that. Where is sugar? Why is it so hard to find sugar? None.Of course, there are some.",combined_clean_all/combined_output_109.wav
109,"See, P' Saint didn't take long to find it. Gossiping. Gossiping someone. You don't believe it, do you? Sugar. Brown sugar. White sugar. Teasing each other like kids. So paranoid. Do you want it in sachets? Time to prank. Can you check that brand?",combined_clean_all/combined_output_110.wav
110,"Which brand? Paranoid. You can't be trusted at all. It could tear apart. That's so silly. He's bad. Do you need a lot? 100 No, just 100 grams. 100 100 100 grams. 100 grams. What else should we add? How about passion fruit for garnishing?",combined_clean_all/combined_output_111.wav
111,"OK, we got the passion fruit. To add some tanginess. Let's go back home. We have two menus today. The first one is almond milk. Almond milk is. very nutritious. I usually don't drink it. but I want to try it today.",combined_clean_all/combined_output_112.wav
112,"So today I will make it myself. Another menu is. mango yogurt sorbet. It's so good for summer. so refreshing when you have it. We'll have some fresh fruit too. It'd be healthy. and yummy too. Alright, let's get started. Now, the ingredients.",combined_clean_all/combined_output_113.wav
113,"apart from the mango, we have the passion fruit. and plain natural yogurt. With some strawberries to garnish on the top. All equipments are ready. Here are all the equipments today. First thing we have to do is. soaking almonds in hot water, and leave it for an hour. While awaiting almonds to get soft,",combined_clean_all/combined_output_114.wav
114,"we're going to make the cold dessert. Wait here. Hey, come and help me. We have P' Pao to help recording. Here you go, the same person.Oho! Mr. Pao here. With some grey hair too.I'm old. Hey, P' Pao. What's up? I peeled the mango yesterday. Did you peel it yourself?Yes.",combined_clean_all/combined_output_115.wav
115,"Well done. Very good.Oh, yeah? You haven't seen the mango yet. It looks great. I peeled the mango myself last night. We have to freeze the mango for a night. to make it frozen. So that we can use it today. Tefal Ultrablend Boost Tefal Ultrablend Boost, it's a blender that.",combined_clean_all/combined_output_116.wav
116,"can do both hot. and cold menus. But now, we will start with the cold menu first. We are going to make. Mango yogurt sorbet.Yogurt. The ingredients will be the mango. that I cut last night. Look how she peeled and cut the mango. Rated for good intention. It's too frozen.",combined_clean_all/combined_output_117.wav
117,This is about one and a half mango. Then we add the yogurt. Let me check the recipe first. There is a manual provided. with a lot of recipes. 200 How much is 200 grams? Just put it. 200 200 grams. Shall we add this one too? Passion fruit.Alright.,combined_clean_all/combined_output_118.wav
118,"Alright, I just let my husband do it for me. I'll just do a production control. This jug is called Tritan, This is a very durable cold jug. There is a screen here, a smart screen display. 10 There are 10 automatic functions to choose for. both hot and cold menu. We are going to use a cold jug.",combined_clean_all/combined_output_119.wav
119,"and the light here is turning to blue colour. Alright, here's how to do it. It's easy, we have to use the vacuum function. by pressing this button. For cold programs, there's the vacuum function. To remove all the air inside. By doing that it helps. to keep all the nutrients in the fruit. to remain the same. Now we wait and wait.",combined_clean_all/combined_output_120.wav
120,"Ah it's done. It has has a safety system as well. It's safe for kids. If the lid cap is not put. correctly in place, the motor will not start. It's suitable for family with children at home. 6 This is a 6-point stainless steel blade. which can blend so well. to make it so fine and smooth. We'll see if it'd give a smooth texture or not.",combined_clean_all/combined_output_121.wav
121,"Alright, we'll press the ice-cream button. and then the start button. Who is actually making it? It must be so good. All done. Oh wow! It smells so nice with the mango. looking so good.",combined_clean_all/combined_output_122.wav
122,We'll garnish with some fresh fruit on top. so that we can get some extra fruit. Adding some fresh fruit in. so that I have more fruit. I want some strawberries on top as well. Here you go. It's done. Looking so yummy. Compliment yourself again.,combined_clean_all/combined_output_123.wav
123,"Let's have a try. I'm gonna try the icecream first. to see if it's smooth or not. wow, it's so smooth. Really smooth, no icy flakes left at all. Yes.Super smooth, isn't it? It's creamy.So creamy. Having it with fresh fruit would be nice. If you'd like to have stronger texture.",combined_clean_all/combined_output_124.wav
124,"you can put it in a freezer for a while. It's so good and so easy to make too. 10 I'll give 10 points. We've finished one. We're gonna have this one first. and then we'll continue with the almond milk. It's so delicious. Same taste as in the restaurant, unbelievable. Compliment again. Continue with the hot menu.",combined_clean_all/combined_output_125.wav
125,"Here comes the second menu, almond milk. Start with the soaked almonds in water. the almond skin is now soft. We have to peel the skin off. It can be easily removed. We peel it because when we make the milk. we won't have brown colour and the skin inside. It can be removed easily like this.",combined_clean_all/combined_output_126.wav
