,eng_reference,trimmed_segment_path
16,"What is your heart made of? I just want to challenge him. What did you do? did you sharpen a knife? I'm just do it for sharp knife. I'll use rock for sharpen a knife. So, what did you do for? For sharp knife. All right . . Are you ready? then . . Go.",combined_wav_3/combined_output_17.wav
17,This is legs part. Now he's working on the ribs now. This is the ribs part. How fast. He so fast. This is ribs part. Now he got the ribs part. The next part is pork spine bone. It take much force.,combined_wav_3/combined_output_18.wav
18,The ribs and spine bone. It must be pork belly. There are a lot of spece in belly parts. You have 45 seconds left. So fast. This is legs part now. He so fast. He has to cut the bone. 30 seconds left.,combined_wav_3/combined_output_19.wav
19,He's really good at it. 20 seconds left. 8 7 6 5 4 3 2 Almost. . There are 2 seconds left. You must tried. You seems really tried.,combined_wav_3/combined_output_20.wav
20,"Do you think you cna did it well? Yes. There are 12 pieces. Yes. Then, can you give me back leg please. Then the hip please. The hip. Then pork tenderloin please. So tiny. Next pork loin please. The tibs please . Then the belly pork please.",combined_wav_3/combined_output_21.wav
21,Pork collar please Here you go. The front leg please. The front leg. Next pork neck please Here the pork neck. There are 10 pieces right there . Next pork spine bone please. And the last one is . . The leg bone. Everybody. This is a problem.,combined_wav_3/combined_output_22.wav
22,"We need him to do it for 12 pieces. So, what is it? What is it? This is shoulder fat. No, you can't. I told you 12 pieces. You do it too much. Soop, I warn you he has a knife. Are there any pork left? I think . . It's obviously . . .",combined_wav_3/combined_output_23.wav
23,"It's too much guys. . Why are you doing? Because it's too much. He asking you. Yes, he asking you uprightly. I'm joking. It's okay for you mission. You have 2 seconds left. That's mean you take time for 98 seconds. He's the professional.",combined_wav_3/combined_output_24.wav
24,"Eveybody, what do you thing about him? the young man who have incridible talent? Kean, you know we're so proud of you that the new generetion like you have a good idea. In every word you told us it show your gratefulness for your parents and how much you love them. .",combined_wav_3/combined_output_25.wav
25,"Moreover the most important thing for grew up well are manage time and money. You're really good at it. I'm admire your gratefulness really. So, we would say . . YES!! Thank you.",combined_wav_3/combined_output_26.wav
26,"Kean . . I've told King Power about your gratefulness, your skill and your dream gift. They truly appreciate in what you do and are willing to make your wish come true. The gold necklace isn't a bid deal.",combined_wav_3/combined_output_27.wav
27,"So, King Power want to give it to you for your father. The gold necklace for 1 bath. The price is 27,000 baht. This is your gold necklac for your father. Moveover, King Power also . .",combined_wav_3/combined_output_28.wav
28,"There want to support your dream for 13,000 baht. The total is 40,000 baht from King Power. How do you feel? I'm proud of mysalf that I can did it. What would you like to tell to your father , please go ahead.",combined_wav_3/combined_output_29.wav
29,"Dad, thank you for everything unless sometime I didn't understand you. That why did you want me to workin young age. To be honest, When I was young I didn't like you. But now this time I want to say thank you for teaching me in every thing. I want to reply your kindness. I don't want you to work anymore.",combined_wav_3/combined_output_30.wav
30,"So, this is your presents for your birthday. I'll give it to you. I love you. When you come to the show? I didn't tell him about it. Did he ask you about it? No. I just told my sister only. I just told him to joint to the program with me today.",combined_wav_3/combined_output_31.wav
31,What if you do if your see your father? I'll wear it for him. You do? Then please go ahead. He has brought his son up well. Such a good son. This is your persent for your belated birthday. This is the gift for you.,combined_wav_3/combined_output_32.wav
32,"Please wait for me, in 5 years I'll open butcher shop for you. You're the chairman. Yes, you're You are really. Thank you. Thank you both of you.  He's admire you really   I'm so pround of my son too. You're his hero.",combined_wav_3/combined_output_33.wav
33,The future butcher shop of the program . Thank you. Everybody we have a good news for you guys!! King Power Shop  amp  Hop Weekend Market by King Power. There are a lot of famous online shop more than 70 shops for you guys. This is special event from King Power.,combined_wav_3/combined_output_34.wav
34,"You can enjoy with street food, drink coffee and watch colorful flowers. The event is held in King Power Srivaree. Open on every Saturday   Sunday from 10.00 AM   21.00 PM Annyeonghaseyo!",combined_wav_3/combined_output_35.wav
35,"Hold on! You may be confused which EP it is. So, we'll spoil the next EP. Ready! I want to take you to play bungee jumping that you'll fall down like this. I like this one the most. You just played only one machine.",combined_wav_3/combined_output_36.wav
36,"If I wear like this, will you hit on me? What is Both's answer? Please watch the next vlog. We're Both  amp  Newyear. This is the 3rd EP. Today, we'll bring you to cafes.",combined_wav_3/combined_output_37.wav
37," La fe ku? What does it call?   La ku le fu  I don't know.   What? You're good at Korean. Today, we're gonna bring you to hop cafes. There are many cafes in South Korea. Cafes in South Korea are very beautiful. It's a must.  Why?   Because it's super, it's rock, and it's bomb.",combined_wav_3/combined_output_38.wav
38,"Because its food is delicious, and looks good. We can make a content. Anyway, please don't forget to like, share, subscribe, and hit the bell. Shall we go? Let's go Our first stop is Saddler...  Haus. It's located on Garosu Gil.",combined_wav_3/combined_output_39.wav
39,"Its food is croffle. If you like croffles, you must visit here. It's very popular.  What is croffle? Is it from croissant   waffle?   Correct. That's why we call croffle.  And this trip, I eat and drink free.   Of course. Let's go! The walkway is like we're going to a basement. Please be careful, especially pregnant women, children, and elderly people.",combined_wav_3/combined_output_40.wav
40,"Wow! They look very good. Who eats free, who serves the food to me.  It looks yummy.   Yum yum Watch your steps. Now, our food is ready. We ordered caramel one which's mine, original one,  and...   Basil one.",combined_wav_3/combined_output_41.wav
41,Let's see it's sweet or not. Most of food in cafes here is sweet. True.  Did you get its taste?   Sweet.  Sweet.   Its taste is sweet. It's sweet. Am I sweet tooth? Diabetes is calling you. Eat it up.,combined_wav_3/combined_output_42.wav
42,"I think the plain one is just right. When I ate the salty caramel one, it's rarely salty at all. It's like it has only caramel.  True, it's sweet. I'm very full now. We've done for the first cafe.  Then it's time to rate it.   Review. We're gonna rate each cafe we visit.",combined_wav_3/combined_output_43.wav
43,"Out of 5, how many rate is it for decoration and taste? Let's start from this cafe. How many rate of decoration is it? 2.5 It's not much beautiful. It's so so. I agree with you. I give 2.5 out of 5.  What's about its taste?   2.5   3 I give 2.5 because it's quite sweet.",combined_wav_3/combined_output_44.wav
44,"And croffle is hard like it's finished so long. I've no doubt that plain and salty caramel one are sweet, but the basil one that is recommended.  I think it's weird.   Basil and dessert don't go together. Maybe Korean people like it.",combined_wav_3/combined_output_45.wav
45,"Today, we visit a cafe named Tongue Planet. It's very popular cafe in Seoul. Now, we're in Seongsu area. It's a trendy neighbourhood popular amongst locals. The neighbourhood is like Brooklyn of Seoul. The most building here is made of bricks and has street art.",combined_wav_3/combined_output_46.wav
46,"Let's see how art Tongue Planet is.  I heard it's so cool.   Is it like tongue?  Yes.   Stick out your tongue. Annyeonghaseyo.  It's so cool, isn't it?   Yes, the water flows this way. There is no basin.",combined_wav_3/combined_output_47.wav
47," Can I wipe my hands with you?   No way. Guys, cakes are served, and they're so cute. It is better than the poster. Once they put them into the plate, the decoration is so beautiful. The cafe's symbol is tongue. This cafe is really art style.",combined_wav_3/combined_output_48.wav
48,"Thank you for our Korean friend who bring us this cool cafe. Annyeonghaseyo. She's Bella. Actually, you got Thai name also, right?  Ploysuay.   Very good. She's so pretty and beautiful.",combined_wav_3/combined_output_49.wav
49,"True, she's so pretty.  We know her for a long time.   Many years.  I think we know each other ..... more than 4 years.   4 or 5 years. More than 5 years. Ploysuay studies Thai language in South Korea. Well, let's eat.",combined_wav_3/combined_output_50.wav
50,"You selected well. Its fresh cream is very soft.  Especially its layers of the tongue.   One two three. There are chocolate, milk, strawberry, and buttercake below.  How is it?   Delicious. But I prefer the first one. It's very good. For drink, mine is earl grey tea with piece of apple.",combined_wav_3/combined_output_51.wav
51," Is it soda?   No, it's earl grey tea. Okay. I can smell it lightly. Its smell likes soap.  What is it?   I don't know. It's signature drink. I think it's latte, milk, and some fruit at the bottom.  Can I try it?   It's really good.  Yummy?   I think there is jelly.",combined_wav_3/combined_output_52.wav
52,"We've left the cafe. Overall, I love it.  The decoration is very beautiful.   True. At the moment, I think...  I like here the most.   Correct.  And tomorrow, we'll still like here the most.   Now, we like it. It's like we visit both of cafe and exhibition at the same time. There is display of art. It's so cool.",combined_wav_3/combined_output_53.wav
53,"Its environment is good, and the food is delicious.  Its price is acceptable.   The total price is 48,000 won.  It's the normal price for...   ...cafes in South Korea. It's pretty expensive. For me, I give 5 out of 5 for the decoration. For taste, I give 4.5.  Me, too. Actually it's because the food is what we like.  Do you want to give 5 max?   Yes.",combined_wav_3/combined_output_54.wav
54,"Daddy, you're overstate.  Am I reliable?   No. The viewers may think Both  amp  Newyear're overstate every cafe. Now, we've arrived at a cafe named..... Nudake Cafe. At this building, we can visit 3 cafes. Because there are Gentle Monster, Tamburins, and Nudake.",combined_wav_3/combined_output_55.wav
55,"Well, let's go to Nudake. Its dessert is like Tongue Planet. It's weird cake that looks like aliens. I think its taste must be good. Maybe. Let's see how it is. Today, Both looks like a pop idol because he wears a cap. The real reason is that I didn't wash my hair. It's stinky.",combined_wav_3/combined_output_56.wav
56,This is the fox. When did you buy it? I just bought it at Kitsune. It's a fox on the jean cap. He's like a pop idol.  A fake idol.   Let's go to the cafe. It's very easy to order food here. Just write the quantity and the number of food.,combined_wav_3/combined_output_57.wav
57,"Can I have one of every food, please?  Can you eat them up?   And pay with your card. No problem, but you've to eat them up. Otherwise, you pay double. The cake looks weird, daddy. So, I've no idea which one is delicious. Let's guess. It's sweet.",combined_wav_3/combined_output_58.wav
58,Yummy? Our friend bring us here. She is one of the beautiest girl in the World...in Korea.  Miss Korea...   ...2022 Miss Su,combined_wav_3/combined_output_59.wav
59,"Hello, I love Newyear  amp  Both so much. Yummy? So so? Really? How can I eat it? There are a big crowd here. Lucky us that this table is available.",combined_wav_3/combined_output_60.wav
60,Our friend reserved a seat in advance. And she came early to get the seat. It's convenient for us. You will meet Miss Su in another vlog when she go to Bangkok.  Don't forget it.   Sure. We came back from Nudake Cafe. Let's rate it.,combined_wav_3/combined_output_61.wav
61," What's the rate of decoration?   I give 5 out of 5. Overall, I like style of Gentle Monster and Tamburins. I like the owner's style.  They belong to the same owner.   Yes.  The dessert is creative.   Right.",combined_wav_3/combined_output_62.wav
62,"It's abstract, and good when we took a photo. For the taste, I give 3 out of 5. It's weird and looks good, but it's pretty sweet. Korean like sweet. For me, I give 4 4.5 for decoration. The cafe's style is cool.",combined_wav_3/combined_output_63.wav
63,"Some food is white, but the taste is not what I think. It's so cool, so I give 4 4.5. For the taste, I give 4. I didn't give it 5 because it's sweet. That's it for Nudake Cafe's review. Before sleeping, we've to wash our faces first. Yes, and we have a top secret to share with you.",combined_wav_3/combined_output_64.wav
64,"I've reviewed many products, but today, I'll review my own one. That is Rise by Nur, my brand. It's my product, and I almost use up. This cleansing foam is very good. I'm not exaggerating. We made it 7 8 months early before launching it.",combined_wav_3/combined_output_65.wav
65,"Once it's launched, I've used it for a year. This cleansing foam is 2 in 1 product. It's daily cleansing foam, and makeup remover. One product is for 2 functions in a bottle of 150 ml. I have a VIP product tester that is Dr.Both. He've used it since it's testing time, approved from FDA, and launched.",combined_wav_3/combined_output_66.wav
66,"He always loves this cleansing foam. I didn't use other brand at all. I use only my boyfriend's product. When he used up, he kept asking me for a new one. It's truth. I use both of cleansing foam and sunscreen.  My number one client.   Yes. It's made of natural extract, so it's safe for allergy.",combined_wav_3/combined_output_67.wav
67,"If you've fragrance allergy, you can use it. I actually have allergies, and I'm so picky. I'm so picky. I choose it  although its smell is odorless.   Many people don't like its smell. Its smell is like some substances. Honestly, I don't want to add any scents. I want to remain its original scent.",combined_wav_3/combined_output_68.wav
68,"Otherwise, it'll have an allergy. Non alcohol , non paraben non silicone , non fragrance, non color. None of everything, but the best ingredient. The full price is 450 baht, but I give discount to 290 baht.  Yay!   We're finished washing our faces.",combined_wav_3/combined_output_69.wav
69,"We're fresh now. I believe you want to buy my product. How can they buy this product? At IG  RISEBYNUR, at LINE   RISEBYNUR. Oh! There isn't only the cleansing foam,  but also the sunscreen.   Correct.",combined_wav_3/combined_output_70.wav
70,"You can visit the online shops and order it. Now, we've to take a shower. See you tomorrow, and hop a cafe with us.  Let's go.   Let's go. The next cafe is Margaret. Today, we're in another trendy neighbourhood that's lots of cafes. We see there are a big crowd in the cafe, so it'd be good one.",combined_wav_3/combined_output_71.wav
71," Correct, this neighbourhood...   It's our opinion.  is popular because of cafes.   True. This neighbourhood is Yeonnam Dong. I think if you visit here, you can hop 7 8 cafes in a day. As long as you're not full, you can hop many cafes here. We've ordered our food. It's 3 kinds of dessert.",combined_wav_3/combined_output_72.wav
72,"Mine is corn pie, carrot cake, and strawberry shortcake. They said it's the best seller. And this is my drink. Let's start from the drink. It's hot here. One two three...cheers.  I like its smell.   You ordered less sugar, right?  Yes.   Good. If the orginial one, it's too sweet.",combined_wav_3/combined_output_73.wav
73,"We've left it. We're very full now. You ordered too much. I had to help you eat them up.  Now, I'm full.   No problem because Both paid.  Well, what do you think about the cafe?   Yummy? For the decoration,  I give 4 out of 5.   Me, too.",combined_wav_3/combined_output_74.wav
74,"I give 4 out of 5 for decoration, and 1 for its taste. Honestly, its taste is bad.  But it looks good.   I give 2.5. Anyway, I recommend you to visit it because it's good for taking a photo, and its dessert is pretty. It's a good choice to make a content.",combined_wav_3/combined_output_75.wav
75,"True. If you've time, I recommend it. We're gonna go to the next cafe which we researched it well. It's very popular. It's popular since there was Covid 19 crisis, but we can't visit here.  Now, we're here.   True.  What's its name?   It's Parole  amp  Langue.",combined_wav_3/combined_output_76.wav
76,"It's pie dessert. We've to book it first. This cafe opens at 1 PM. Our Korean friend told us to be there as early as we can.  Otherwise, we'll miss it.   Correct. We've that experience because we arrived it 5 PM once.  And they said...   ...sold out. It's in Yeonnam Dong.",combined_wav_3/combined_output_77.wav
77,"Now, we have our food right here. We've to book this cafe via application, with a Korean telephone number which belongs to our Korean friend. What we order today is Corn pie. It looks very good. Mine is choco banana pie. Today, there isn't much choices. Actually, I want strawberry one.",combined_wav_3/combined_output_78.wav
78," There are 5 kind of pie, but today...   ...no strawberry one. For drink, both of us get milk tea. It's delicious. Is it worth it?  Such a big bite.   Yummy. This is the most delicious of all dessert I ate in South Korea. Here is corn pie. It looks yummy.",combined_wav_3/combined_output_79.wav
79,"I have no doubt the cafe is still popular until now. The corn pie is flavorful, and not too sweet.  But the drink is sweet.   True. Milk tea is too sweet. He wants more because he was in a long queue.  What would you like?   I want this one.",combined_wav_3/combined_output_80.wav
80," They said it's marian plum.   The orange one?  It looks yummy.   True. It's persimmon, not marian plum. Why is it so cold? It's not good, not bad.  They said it's best seller.   The cream is very good.  Guess? Is it persimmon or egg york?   It's persimmon.",combined_wav_3/combined_output_81.wav
81,"The cafe style is wood and brick.  The outfit should be earth tone.   Your outfit is just right.  Black color.   Mine is okay, black and white.  As long as your heart is...   ...just right. We're so full. We ate 3 pies. I confess that this is the first cafe of the trip",combined_wav_3/combined_output_82.wav
82," that we ate up.   True.  At Nudake,   We ate a little. We ate a little of each dessert, but here, it's so yummy. We ate up. Well, I give 4 for decoration, and 4.5 for taste. My 4 rates are for decoration of food and cafe. The decoration of the cafe is normal. It's made of brick, and looks old.",combined_wav_3/combined_output_83.wav
83,"There is not any special decoration inside. But the food is very good. So, I give 4.5.  Anyway, the drink is...   ...quite sweet. True. The drink is quite sweet. If you want to order some drink here,... We can't order less sugar for pie,  but you can do it for drink.   Correct.",combined_wav_3/combined_output_84.wav
84,"For me, I give 4 for decoration. I think pies and the cafe have something related to each other. They're homey, and wooden color. For its taste, I give 4.5 as well. The drink is too sweet, so I minus 0.5. Anyway, I recommend its pies.",combined_wav_3/combined_output_85.wav
85,"Yay! Do you like our cafes' review? Overall, I'm okay with it. Because we can travel around as well. Yes, but it's not very good. Some cafes, we chose from its photos. And we prefered to make a content as well.",combined_wav_3/combined_output_86.wav
86,"Some cafes look very good, but food isn't good. If you're cafe hopping, I recommend them to you. Every cafe is beautiful, and has good dessert. Anyway, if you like this clip, please like, share, subscribe, and hit the bell. Our next trip is Japan!",combined_wav_3/combined_output_87.wav
87,"We have to change our greeting. Konnichiwa, Newyear desu. I thought you would say Ohayo. Please wait for the next trip.  How come you can speak Japanese?   Am I brilliant? He's adaptable to every country. Well.  Goodbye.   See you. What is this?",combined_wav_3/combined_output_88.wav
88,"Look, this is chili. Hey! In the middle of an American football field Very fragrant. The smell of the sea has floated. Jack has one thing that Moss knows Why are sushi chefs only men? This is served to the boss alone. Whoa, whoa. So many people The row is very long. Hello everyone.",combined_wav_3/combined_output_89.wav
89,"Bring everyone here today. In front of Moss is Will like to come to the vintage market Selling antiques, right? But this time We will go into the stadium. And we don't watch sports I'll see what's cool inside. But look at the row first now A lot. A lot of people",combined_wav_3/combined_output_90.wav
90,"It's four o'clock now. People come together, everyone. A lot. What time will we have access first? At four o'clock at the same time Does everyone see the floor? He has the word UCLA. This is the university that Moss used to interview Nong O. UCLA",combined_wav_3/combined_output_91.wav
91,"Well, that's Rose Bowl Stadium. It's an American football stadium. Of the UCLA house. This is everyone. I got it. We came in with Wristband. And he gave this to Moss. What does everyone think? It is still confused. We'll open it together. Ow, a spoon.",combined_wav_3/combined_output_92.wav
92,"Spoon and orange are very cute. Here, Moss is at work now. Yes, this is the first time 7 already And this is where we came in. 4 o'clock because Ah, there are two prices in total. typical person, will come in from 4 7 PM The total is about six thousand Thai baht.",combined_wav_3/combined_output_93.wav
93,"But if the VIP is here, he can come an hour before Moss, one hour before us, but he pays about eight thousand baht. Come on. I'll notice that it will be this. Foodtruck area We come in here. We can eat everything. Because in this is a buffet. But it just opened",combined_wav_3/combined_output_94.wav
94,"The line is therefore a little long. Wait, come to our job This is vodka. Before entering our event, Must be like a drink. It holds about 90 000 people. Come and see Look at the chaos of American football stadium . This is it. He turned the courtyard down into a store.",combined_wav_3/combined_output_95.wav
95,"Food. It's a restaurant. It's a food patio. This, Moss will take everyone to eat a medium buffet. Please inform in the middle of the American football field. I want to say that today About 14. 15 degrees. And the atmosphere is very chilling everyone Each point will have The restaurant is on sale. Look with this eye like",combined_wav_3/combined_output_96.wav
96,Many shops We'll see if we find Thai restaurant too? Meaning he will be a combination International and this Sleep and eat together Chill at the police. Beside him will write that Pasadena in front of the office Because Rose Bowl Field is in Pasadena.,combined_wav_3/combined_output_97.wav
97,"And this job saw him say, Would be a helping job. Like like Total income money 100 This is it. Help the homeless in the neighborhood. Most of the food is small bowls. This one, he said, is lamb mixed with Potatoes It will feed like curry.",combined_wav_3/combined_output_98.wav
98,"Delicious. Wow, and... Is a5. Waki meat Anyone who is a flesh line would know that. A5, what is this going to be? And he has flowers too Purple flowers Is here. Before eating, we have to be like Watch before Because food is like a work of art",combined_wav_3/combined_output_99.wav
99,"We can say that because the cup is small Very fragrant Very soft meat. But it will be sour Like he put a little sour sauce Delicious I want to say that the drink He has many arches. It's pineapple juice and grub food. Where you go, the cameraman will like to see if it feels like a drink,",combined_wav_3/combined_output_100.wav
100,"this will only have young girls. The most handsome? Oh, but... This is a duck taco, everyone. Looks very yummy It's delicious. And the duck has cream, and it's sour. What child is it? So cute. What pearl does he have inside? Very mango fragrant",combined_wav_3/combined_output_101.wav
101,"Juicy in the mouth Delicious. What did he say? Yeah, I saw the lap's face and forgot it all. This one is very fragrant. Very fragrant. He said there are chickens, there are pigs. What is mixed? It's rice and looks very juicy and juicy like your face. Delicious Hey everyone, what is this?",combined_wav_3/combined_output_102.wav
102,"Look, this is chili. Oh, and it's Enchovy, right? This. Will try to eat Here it is. I'll eat it in front of the store. Huh? Everyone, it's gonna have the salinity of anchovy fish, right? And it will have chili peppers. The peppers will be spicy, and sour. And this one is tomatoes. And what is he called",combined_wav_3/combined_output_103.wav
103,"Olive Eat like and have alcohol. I'll walk to find more flavor. Come to try this shop, it's Japanese food. Hello there. Everyone, this is a Thai sushi shop. Let me taste it first. What's this name? Salmon something and tuna. Very fresh salmon. This one is tuna.",combined_wav_3/combined_output_104.wav
104,And what kind of frame is there? Delicious Fish and meat Very compatible Now we With the Shop Owner. Hi. My shop will open in Old Town Pasadena. Yes. It's been open for about seven years. And this event comes often?,combined_wav_3/combined_output_105.wav
105,"Master of Taste. This year, the first year. But most will go to other events. Los Angeles magazine, something like this, and does this job take only people in the pasadena area? Or that No, this should be it. If the master of taste happens, it will be all over la. So... Yes, sir. The Pasadena will have Taste of Pasadena.",combined_wav_3/combined_output_106.wav
106,"Will be another event, will be specific Local. Yep. Well, it's a surprise. It's a Japanese restaurant. But the owners are 100 percent Thai. Yeah, yeah. Oh, everyone, all Thai people, right? But everyone like Yagusa And what menu is there today? Today I have Erm.",combined_wav_3/combined_output_107.wav
107,"Krispy Tuna Bris Will be Sears Tuna. And then put it on a Mexican chip. And then served with There will be a sweet sauce. And it's a little sour and sweet Yes, I The other one will be salmon dewsolae. Will be salmon and still have Strawberry Salsa On Top Regular",combined_wav_3/combined_output_108.wav
108,"2 Will this menu be sold at the store? No, sir. We will create Social events Let's say there's a client who's like a Catering Event. He wants us to create an event. Want the creatives to have special food We created it for him. Oh, yeah. Normally, the shop only receives gifts as well. And how many orders have you prepared today?",combined_wav_3/combined_output_109.wav
109,"He's got about 1 500 in total. Serve. We will prepare one serving, about 1 500 servings It's a total of 3 000 orders. 3 000 orders Yes, sir. It's a factory. 3,000 orders Can do it because When we leave, sir, we will Prep everything up.",combined_wav_3/combined_output_110.wav
110,"Salmon and then Prep. We've already slid. Guys, we got a slide. Come on. Here and like put Topping, that's all. Like everything has to be fast. You have to go. Ah, if we run out first Finished before winning Win. Finish first, win. It's all gone first.",combined_wav_3/combined_output_111.wav
111,"Yeah, yeah, yeah, yeah. Oh, there's a cafe. Just reopened next door. Do you have Thai coffee? Oh, yeah. I'll try to taste it. All right, all right. Jack must have noticed, he said, that a hundred percent of all income seems to go to homeless. Yes, sir. Hundred percent homeless Oh, yeah.",combined_wav_3/combined_output_112.wav
112,"This is like a charity event. Charity, too. Yeah, yeah. Yeah, and like making merit too, eating delicious things too Ah, this is served to the younger one. Ah, this is served to the younger one. Ah, uh, here it is. Saw that Jack said Wife's a phitsanulok ? Yeah. Hello there. What is this? My name is Joy. Joy, yeah.",combined_wav_3/combined_output_113.wav
113,"What is the poison province of the world district? City district. Graduated Chalermkwanstree School. Ow! Graduated with the same high school as Moss Chalermkwanstree School Phitsanulok, come to cook a lot. And how many years have you been cooking? It's been 18. Year Let's start making long sushi. I kept asking",combined_wav_3/combined_output_114.wav
114,"Then why didn't Jack open as a regular Thai restaurant? Why did you open it as a sushi restaurant? Because... Where the Japanese restaurant works before. We didn't come to work in a Thai restaurant. So the experience became sushi all along. When going to the Thai shop, we couldn't go correctly. I think if really And Thai food and Japanese food The skills of preparing it.",combined_wav_3/combined_output_115.wav
115,"Speaking, uh, it's complicated, too, but Japanese food is easy with us. It's easier to have tricks to serve. Suppose the sushi is just a slide and then put on the rice. Ah, it went too. We pulled out. Yeah, yeah, and the difficulty. Must be fresh? The most important is rice. The secondary rice is fresh. Oh, the freshness of the fish.",combined_wav_3/combined_output_116.wav
116,"If the rice is bad, it's not a sushi restaurant anymore. Oh, yeah. Must be fish meat Take the rice first. For the rice first. Fish, we can Twist. We can add flavoring to the fish. But rice. If you don't do well, Bad texture is over. Jack has one thing Moss knows why sushi chefs only have men.",combined_wav_3/combined_output_117.wav
117,"No women make fish. Why men? Because It will easily bump into a glass of liquor with customers. No, but really. Yeah, like, like, a chef has to entertain a client. The guy reaches different temperatures. The hand temperature is different. So... Like a man. The temperature in its body. It won't be as hot as a woman's, but really.",combined_wav_3/combined_output_118.wav
118,"And I think it's not relevant nowadays Because now female chefs are talented. So what's the matter? Traditional, sir. Now it can be modified. The next day, let Moss do it. Don't do it. The fish will not be equal. The sushi chef will come. Who wants Moss to be a sushi chef? Comments come. Comments come.",combined_wav_3/combined_output_119.wav
119,"I don't bother Jack today. Thank you. Thank you very much. Thank you. This is real Japanese. This one, he's a chicken Katsu. Real Japanese. This one is very fragrant. This chicken, he eats chicken first. The sauce is very mellow, but Will not taste spicy From Santa Monica is the old 1939 seafood store.",combined_wav_3/combined_output_120.wav
120,"Everyone, Moss is eating that shop a lot. Where is the end of the row? If we connect this store, will it run out first? Oh, come on. Oh, before reaching us Is each store. Just now, Jack said what? Picture If it's all gone, then it's all gone. Well, I have to make time. While waiting in line, right?",combined_wav_3/combined_output_121.wav
