,eng_reference,thai_reference,trimmed_segment_path
10,"Like I have a big containment like this big and you just let it flow and        Let it flow.    Pour it all in, I m an empty containment.    Like a container.  so you re helping them to contain their stories. Like a container       You re helping them by taking weight off their shoulders.      You re helping them hold that weight.",เหมือนฉันมีที่ภาชนะบรรจุใหญ่ประมาณนี้ แล้วให้เธอปล่อยให้มันไหลเข้ามาและ หลั่งไหล เข้ามา ใส่เข้ามาเลย เป็นถังเปล่าๆ แบบภาชนะ ให้ ภาชนะให้ ดังนั้นคุณกำลังช่วยให้พวกเขาเก็บเรื่องราวของพวกเขา แบ่งเบาอ่ะค่ะ แบ่งเบา เขาได้เทออก เค้าเบา เราช่วยถือ น้ำหนักก็ถ่ายมา,combined_wav2/combined_output_2_11.wav
11,"     They re telling you their stories and you help just by listening.    This is supporting them by being a container for them.  Doing just that is already hard for a lot of people. What you just said is totally right.  Just to listen and say nothing.  Right, that s the first one but the second one I teach them to use is like active listening.       empathetic   That was   before right?",เขาบอกว่ามา ช่วยแบ่งเบากันหน่อยอะไรแบบเนี้ย ด้วยการฟัง นี่คือช่วยแล้วคือการซัพพอร์ทเป็น คอนเทนเนอร์ให้เขา ที่พี่ดาวพูดเมื่อกี้คือใช่เลย การทำแบบนั้นมันยากสำหรับใครหลายคนแล้ว แค่ฟังโดยไม่พูดอะไร ใช่ นั่นสิ่งแรก แต่สิ่งที่สองที่ฉันสอนคือการฟังอย่างกระตือรือร้น เมื่อกี้ ใช่ไหมครับ อย่างเห็นอกเห็นใจ,combined_wav2/combined_output_2_12.wav
12," Empathetic listening Yes, that was   Like listening to understand. But active listening, you ve got to like be more active like,           you re not just listening and replying yes and yes, but you have to reply too.  paraphrase   Like paraphrasing what you just heard. Paraphrase   What s paraphrasing? Paraphrase     Key words   Paraphrasing is getting the key words or information from something.",อันนั้น การฟังอย่างเห็นอกเห็นใจ คือฟังอย่างเข้าใจ แต่การฟังแบบกระตือรือร้น คุณต้องชอบกระตือรือร้นมากกว่าแบบ ไม่ได้ฟังอย่างเดียว ไม่ได้ฟังแล้วแบบ อืมๆๆ แต่ว่ามันมีการตอบกลับด้วย มันมีการ สิ่งที่พึ่งได้ยินไป คือ คือการ เราเก็ต จากสิ่งๆนั้นหรือว่าใจความสำคัญ,combined_wav2/combined_output_2_13.wav
13,"   Like when you re studying for a test, what do you do with important information?  Highlight it.        Right, people highlight nowadays. Back in my day we used,      underline, mark, and parenthesis.  I underline.    paraphrase We can do the same in speech, which is paraphrasing.    So it s like concluding, grasping the main idea.",เหมือนตอนอ่านหนังสือสอบ แล้วเราจะเจอใจความสำคัญทำยังไงคะ ไฮไลท์ ไฮไลท์ คนยุคนี้จะไฮไลท์ คนเก่าคนนี้ จะบอกว่า ขีดเส้นใต้ ดอกจัน ปีกกา ดาวขีดเส้นใต้ ในภาษาพูดตอนที่เราฟังเราทำแบบนั้นได้ ด้วยกัน ก็คือเหมือนเป็นการสรุปใจความ จับประเด็น,combined_wav2/combined_output_2_14.wav
14," Grasping the main idea.  And reply back to them.  Reply back. Okay.   keywords   Repeating keywords is useful when assigning work.    When you make an order at a restaurant, the waiter repeats what you ordered.  active listening I d like to thank them very much. That is   That exact function?",จับประเด็น และก็สรุปใจความกลับไปที่เขา กลับไปที่เขา โอเค ทวน มันเหมาะมากเวลาตอนส่งมอบงาน เคยสั่งอาหารแล้วร้านอาหารแล้วก่อนพนักงานเขาจะไป เขาจะบอกขอทวนนะคะ จะขอบคุณมากนี้คือ การฟังอย่างกระตือรือร้น ก็คือฟังก์ชันนั้นเลย,combined_wav2/combined_output_2_15.wav
15,"       1 2 3 4 5 Yes, for example, I work with you and I tell you I m going to do 1 2 3 4 5.  OK I got you. And you reply     Got       I would be like, what exactly did you get? Did you get it all?  1 2 3 4 5 But if you say, I got it, 1 2 3 4 5.    You repeat it back to me and you get it. Good Listener, Good active listener.   ",ฟังก์ชันนั้นเลยถ้าเขาแบบว่า สมมุติทำงานกับพี่บิ๊ก บอกพี่บิ๊กคะ เดี๋ยวเราทำ แล้วพี่บอกว่า โอเค เข้าใจ เราจะแบบ อะไรบ้าง ได้อะไรไปบ้าง ครบเปล่า แต่ถ้าพี่บิ๊กบอกว่าได้ละ พี่บิ๊กทวนให้เรา แล้วโอ้พี่บิ๊กเข้าใจ ผู้ฟังที่ดี ผู้ฟังอย่างกระตือรือร้นที่ดี,combined_wav2/combined_output_2_16.wav
16," paraphrase     Clarify It can be paraphrased like this, or you could clarify.    communicate Sometimes we aren t on the same page when communicating,  because they re using very broad words.  Oh I think that this idea is good. For example,  Do you know how good that is?  Yeah, what kind of good are we talking about?      Are we on the same page on being good? ",นี่คือแบบ ได้ด้วย หรือเราจะมีการ บางทีเราไม่เข้าใจกัน เรา แล้วเข้าใจไม่ตรงเพราะอีกฝั่งใช้คำที่กว้างมาก เช่น เป็นไอเดียที่ดีนะ ดีแค่ไหน ใช่ ดีของเราสองคน ดีแค่ไหน เรามีความเห็นของคำว่าดีตรงกันรึเปล่า,combined_wav2/combined_output_2_17.wav
17,"Right, so if you want to be a good active listener you can ask,      A, you said good, can you explain me more about how good this idea is?           What does your  good  look like?        Right, or when your boss tells you to do a good job.    Do a good job  what do you mean?  How good?",ใช่ ดังนั้นถ้าอยากเป็นผู้ฟังอย่างกระตือรือร้นที่ดี ก็ถามไปเลย เอ คุณบอกว่าดี อธิบายเพิ่มหน่อย ดียังไง ดีแค่ไหน หน้าตาเป็นอย่างไรนะกู้ดของเธอนั้น ใช่ หรือแบบว่า อ่ะไปทำงานมาดีๆนะ สมมุติเจ้านายสั่งงานแบบนี้ ไปทำงานมาดีๆ อีหยังอ่ะ ดียังไง,combined_wav2/combined_output_2_18.wav
18,"     What do you mean by good? And then you do your work to your  good  standard.  Match   Their good and your good doesn t match.    I told you   Then you submit the work and they re like,   do a good job.      Why isn't it good? You think it's good.    Active listening   You misunderstand each other, so   helps us,",ดียังไงอ่ะ แล้วพอเราทำเราก็ตั้งใจ แต่เอาเอาดีของเราเป็นตัวตั้ง เขาก็มีดีในใจของเขาแล้วไม่ กัน พอเราเอางานมาส่ง ก็แบบ ว่าให้ทำงานดีๆ บอกแล้วไง ทำไมไม่ดี เราก็แบบ ดีแล้ว เข้าใจไม่ตรงกัน เพราะฉะนั้น เนี่ยนะคะมันช่วยทำให้เรา การฟังอย่างกระตือรือร้น,combined_wav2/combined_output_2_19.wav
19," Demonstrate   fully understand each other by   something that you understand.    Clarify   Paraphrase   Reflect on emotion I won t guess. There s  ,  , and there s  Reflect emotion     while talking  Emotion  Reflect   Other than information,   could also be reflected too Emotion   information   is also ",เข้าใจตรงกันคือมีการ บางอย่างที่บอกว่าฉันเข้าใจเธอหมดเลยนะ แสดงให้เห็น ฉันจะไม่เดาไปเองนะ มี มี แล้วก็มีการ ทำให้ชัดเจน สรุปใจความ สะท้อนอารมณ์ ระหว่างคุย สะท้อนอารมณ์ คือนอกจากเนื้อหาแล้ว ก็น่าจะถูก ด้วย อารมณ์ความรู้สึก ก็เป็น อารมณ์ เนื้อหา,combined_wav2/combined_output_2_20.wav
20,"Emotion   information   1 Quote Hashtag     is also   Another hashtag quote Emotion   information   is also   That's right. That is very important in the conversation and the communication as well.  Right, that is so good.    So we kinda have to do both right? ",ก็เป็น ได้อีก แล้วนะครับ อารมณ์ เนื้อหา ก็เป็น อารมณ์ เนื้อหา จริง สำคัญมากในการสนทนาและการสื่อสารด้วย ใช่เลย ดีมาก เราเลยต้องทำทั้งสองอย่างใช่ไหม,combined_wav2/combined_output_2_21.wav
21,"We have to listen without saying anything or without judging, without       give them life quotes  Empathetic listening     So,   comes first then Active listening     also plays an important role    Basically, it helps connect us in communication right? Paraphrase       Paraphrase, this is a good word.",พยายามที่จะคำคม เราต้องฟังโดยไม่พูดอะไรหรือไม่ตัดสิน ไม่ ก็คือ ก่อน แต่หลังจากนั้น การฟังอย่างเห็นอกเห็นใจ ก็มีบทบาทสำคัญเช่นเดียวกัน การฟังอย่างกระตือรือร้น ก็คือ มันจะเพิ่มการสื่อสารระหว่างกันเข้ามาแล้วใช่ไหมครับ จริงๆ คำนี้ดีนะ ชอบ,combined_wav2/combined_output_2_22.wav
22,"     It s basically repeating, but in your own words,  Paraphrasing you don t have to repeat word by word.      Parroting   If you repeat them word by word it s called  Parroting .  What is it called? Parrot.  !?   verb   Parrot!? Parrot can also be a verb?  Verb   Parrot can also be a verb, which is repeating exactly what they say.  It s very frustrating, try it yourself.",จริงๆ มันคือการทวนแหละ แต่ทวนในภาษาของเรา ไม่ต้องพูดเหมือนเค้าเป๊ะก็ได้ในการ ถ้าพูดเหมือนเขาเปะๆ เลย เราจะเรียกว่า ค่ะ เรียกว่าอะไรนะครับ นกแก้ว นกแก้ว นกแก้วก็เป็น เหรอ นกแก้วก็เป็น คือพูดเหมือนเปะ ไม่งั้นจะกวนประสาทมากพี่บิ๊กลองสิ,combined_wav2/combined_output_2_23.wav
23,"   Ok, how are you today.  How are you today.    Let s grab some lunch afterwards.    Let s grab some lunch afterwards. 2   2 times is already    It s like you're messing with them. Oh so paraphrasing is like reflecting back,  or saying back what the other person is saying to you,  but in your own words. ",เออจริง พี่ดาววันนี้สบายดีนะ พี่ดาววันนี้สบายดีเนอะ แล้วจริงๆ เดี๋ยวเราไปกินข้าวกันดีกว่า เดี๋ยวจริงๆ ไปกินข้าวกันดีกว่า รอบก็แบบว่า มันเหมือนมันกวนตีนจริงๆ นั้นแหละ การสรุปใจความก็เหมือนการสะท้อน หรือพูดสิ่งที่อีกฝ่ายพูดกลับ แต่ในคำพูดของคุณเอง,combined_wav2/combined_output_2_24.wav
24,"So just to check that you really are on the same page.  Yeah, you got to use a lot of comprehension.    Don t just hear it and reflecting on it you got to comprehend.    Comprehend     is to Comprehend Comprehend    Comprehend  This a great word. You verbalize it to your own language and it shows you exactly, ",เพื่อจะได้รู้ว่าใจตรงกันจริงๆ ใช่ คุณต้องใช้ความเข้าใจอย่างมาก อย่าเพียงแค่ได้ยินแล้วสะท้อนกลับ คุณต้องเข้าใจมันด้วย มันคือเข้าใจอย่างลึกซึ้ง เข้าใจอย่างลึกซึ้ง คำนี้ดีนะครับ คุณพูดเป็นภาษาของคุณเองและจะแสดงให้คุณเห็นอย่างชัดเจนว่า,combined_wav2/combined_output_2_25.wav
25,"how much you understand the message.     I understand now why we have to teach these things,  Paraphrasing   even paraphrasing would take a lot of time perfecting.  How do we do it so that    Workshop   This is what I experienced during your workshop.  Paraphrase   The things you throw back at me is paraphrasing.",คุณเข้าใจมากแค่ไหน ผมเข้าใจแล้วว่าทำไม ต้องสอนเรื่องเนี้ยก็ แค่เรื่อง ก็ฝึกอันยาวยาวแล้วนะ ทำยังไงเราถึงจะสามารถแบบ เออจริงนี่คือสิ่งที่ เกิดขึ้นระหว่างผมทำผิด กับพี่ดาว สิ่งที่พี่ดาวโยนกลับมาคือการ นั่นแหละ,combined_wav2/combined_output_2_26.wav
26," I only just realized this.      Right, and it reminds you of what you just said too.  Right. That s such a great tool.  It is         and it doesn t have to be limited only to the psychiatrists.      That s right, you can use it with your parents, friends, boss and everyone.",จริงด้วยพึ่งตระหนัก ใช่ๆๆ แล้วมันก็ทำให้เราได้เห็นว่า เมื่อกี้กูพูดอะไรไป ใช่ เป็นเครื่องมือช่วยที่ดีมากเลย แล้วมันก็ไม่ จำเป็นต้องเก็บเอาไว้สำหรับแค่คนที่ทำงาน ด้านจิตใจ ใช่ ใช้ได้ค่ะคุณพ่อคุณแม่ เพื่อน เจ้านงเจ้านายใช้กันได้หมด,combined_wav2/combined_output_2_27.wav
27,"Ok so it could be when you re saying something along the lines of,  Ok what I hear you were saying is that      That s what I got from you.    Like what I hear from what you re saying is something like this. So that s you paraphrasing back to me. ",ดังนั้นอาจเป็นได้เมื่อคุณพูดอะไรบางอย่างในลักษณะของ โอเค ที่ฉันได้ยินที่คุณพูดก็คือ อันนี้คือเอามาจากที่พี่ดาวพูดนะ ว่าจากที่พี่ดาวฟังที่บิ๊กพูดเนี่ยมัน เป็นลักษณะประมาณนี้ นั่นคือคุณสรุปใจความกลับมาหาฉัน,combined_wav2/combined_output_2_28.wav
28,"Yes but one thin line is that, do not add your own opinion in to it.      That s kind of a fine line.  Some people like got the message but you add on like,      your own opinion and your own judgement.   You can t hold back.    You can t hold yourself back.      I have some life quotes you know, and what it think is that",ใช่ แต่สิ่งหนึ่งที่ต้องระวังคือ อย่าเพิ่มความคิดเห็นของคุณเองลงไป นั่นเป็นเส้นบางๆ บางคนได้รับข้อความ เข้าใจ แต่คุณไปเพิ่ม ความคิดเห็นของคุณเองและการตัดสินใจของคุณเอง อดไม่ได้ อดไม่ได้ ยังไม่หยุด เรามีคำคมอยู่นะ เรามีคำคมเยอะไง แล้วรู้สึกว่า,combined_wav2/combined_output_2_29.wav
29,"   I heard of this one before and would like to say that  this you should not do, Unless that person asks you to show your own opinion.  Ok what do you think of      Note it.    If they ask, then you add.    Or if you really want to add, ask first. Is it ok if I give you some more opinion? ",อันนี้เรารู้มาแล้วอยากเติมคือ ไม่ควร เว้นแต่เขาจะขอให้คุณแสดงความเห็นของคุณเอง โอเค คุณคิดยังไงกับ ดอกจัน ถ้าเขาขอ ให้เราเติม หรือถ้าอยากเติมไม่ไหวละ ถามก่อน ขอเติมอะไรหน่อยได้ไหม,combined_wav2/combined_output_2_30.wav
30," No thank you But if they say,   They re tell you to stop.  No thank you   They can say   ?  Yes.    Sometimes we don t want answers from the things that we tell others,      because we have our own answer already.    Right, I ve met a lot of these people.  They just want you to listen.",แล้วถ้าเขาบอกว่า ไม่เป็นไร ให้เขาเบรกให้ อ่อเขามีสิทธิ์ว่าจะ เนอะ ไม่เป็นไร มีค่ะ บางเรื่องอย่างนี้ไม่ใช่ทุกเรื่องที่ เราแชร์กับใครสักคนแล้วเราต้องการทางออก เพราะจริงๆ เรามีทางออกในใจ ไม่ต้องบอก จริง เคยเจอเยอะครับ เขาแค่อยากจะพูดให้ฟัง,combined_wav2/combined_output_2_31.wav
31,"       Right, they just want to tell you and ask for ideas.  They ll go decide it for themselves later.  Yes,    Yes   and some people just want to hear the word  yes  from us.  So if you were talking to someone like this, Would you humor them like,    ok, I can sense that you only want me to say yes,     ",ใช่ แล้วก็แค่อยากจะโยน พูดให้ฟัง ขอคำปรึกษาขอฟังไอเดียเฉยๆ แล้วเดี๋ยวเขาจะไปเลือกเองอีกทีนึง ครับ บางคนเป็นอย่างนี้ด้วยคือ เขาอยากจะได้ยินเฉพาะ จากเราอะ แล้วถ้าเกิดพี่ดาวกำลังคุยกับคนประเภทนี้อยู่อ่ะ คุณหยอกเล่นกับพวกเขาไหม แบบ โอเค ฉันรู้สึกได้ว่าคุณแค่ต้องการให้ฉันตอบว่า ใช่,combined_wav2/combined_output_2_32.wav
32,"So I m just going to say yes to you.      Are you that kind of person?  In a workshop or like in..  In general.  I might reflect how I feel like straightforwardly like,    Well I think you expect me to say yes to everything,      so you just need reaffirmation from me. ",ดังนั้นฉันจะตอบแต่คำว่า ใช่ กับคุณ เป็นคนแบบนั้นไหม ในเวิร์กช็อปหรือว่า โดยทั่วไป ฉันอาจจะสะท้อนความรู้สึกของฉันตรงไปตรงมา เช่น ฉันคิดว่าคุณคาดหวังให้ฉันตอบ ใช่ กับทุกอย่าง ดังนั้นคุณแค่ต้องการคำยืนยันจากฉัน,combined_wav2/combined_output_2_33.wav
33,"Is that what you really want?    So I would know my function in that conversation.       Oh just ask them blatantly like that. Just call them out.       Mind   Did you know I always say what s on my mind because I don t guess?  like this is what you want right?        If you watch TV series or movies you ll see that guessing,",นั่นคือสิ่งที่คุณต้องการจริงๆ ใช่ไหม ฉันจะได้รู้หน้าที่ของฉันในการสนทนานั้น โอ้เออ เราทำแบบนี้ไปเลยก็ได้ ถามไปเลย พูดไปตรงๆ เลย พี่บิ๊กรู้ไหม ดาวเป็นคนพูด ตัวเองตลอดเวลาเพราะเราไม่เดา ต้องการแบบนี้ใช่ไหม ถ้าเกิดเรา ดูแบบพวกหนังซีรี่ย์หรืออะไรต่างๆจะเห็น ว่าการเดาเอาเอง คิดไปเองเนี่ย,combined_wav2/combined_output_2_34.wav
34," Conflict   Is the cause of conflict in every storyline.      It has to be like that, guessing it by yourself.        I like the word  definitely  a lot. Many say it definitely is going to turn out like this.    If they do that, not that it has happened yet.    If they do that, it will definitely turn our like this.    I hear this so often and wonder,  How can you be so sure?",มันคือ ของทุกตอรี่ไลน์ คิดว่าต้องเป็นอย่างนี้แน่เลย คิดไปเอง เดาไปเอง ชอบคำว่าแน่เลยอ่ะ หลายครั้งคนที่บอก มันต้องเป็นแบบนี้แน่ๆ เลย เดี๋ยวถ้าทำแบบนี้ แต่ว่ายังไม่เกิดนะ ถ้าทำแบบนี้เดี๋ยวเขาต้องเป็นแบบนี้แน่ๆ เลย ดาวได้ยินแบบนี้บ่อยด้วย จะถามว่า แน่จากอะไรหรอคะ,combined_wav2/combined_output_2_35.wav
35,"   How are you so sure? It hasn t even happened.  Why are you so certain? It could turn out otherwise.      Voice     Clarify So that s why we shouldn t guess, just voice out straightforwardly to clarify.  Clarify     And I think that the word  clarify  is a big word for this year.  It's a word that  Make it clear.      Right, make it clear, make it visible.",แน่ได้ยังไง มันยังไม่เกิดเลยอ่ะ ทำไมถึงมั่นใจขนาดนั้นมันอาจจะไม่ใช่ก็ได้ เพราะฉะนั้น ไม่เดา เราจะ ออกมาตรงๆ เพื่อจะเช็คเพื่อจะ แล้วเราคิดว่าคำว่า จริงๆ เป็นคำที่ใหญ่มากสำหรับปีนี้ของเรา มันเป็นคำที่ ทำให้ชัดเจน ใช่ ทำให้มันชัดเจน ทำให้มันชัดเจนเลย,combined_wav2/combined_output_2_36.wav
36,"   Whatever that is foggy or unclear.      There are many things in a tough year like this that s unclear or foggy.  Right.  Clarify       Clarifying things by identifying its layers, components, and properties,  12   Clarify Clarification Is what got us through the past 12 months, ",อะไรที่มันคุมเคลือ อะไรมันกองทัพกัน มันจะมีหลายๆอย่าง นะช่วงปียากๆ ทุกอย่างมันจะมาสุ่มสุมๆ ครับ การที่ค่อยๆ ว่าสิ่งเนี้ย มันประกอบด้วยก้อนอะไรบ้าง ทำอะไรได้บ้าง ทำให้เราผ่านช่วง เดือนนี้มาได้คือ การทำให้ชัดเจน,combined_wav2/combined_output_2_37.wav
37,"   Today we learned a very important lesson in listening.  Because it s something we can put it to use in our daily lives.  And if we re at least not awful at this,  Not awful.    We will prevail from this awfulness. We can escape from all the  -ness. ",วันนี้ได้บทเรียนที่สำคัญมากๆ ในเรื่องการฟัง เพราะรู้สึกว่ามันเป็นทักษะที่เอาไปใช้กับอะไรก็ได้ในชีวิต แล้วอย่างน้อยถ้าเกิดเราไม่บ้งกับสิ่งนี้ก็ ไม่บ้ง ชีวิตมันจัดรอดจากความบ้งบางอย่างได้โดยที่เรา สามารถแบบ บ้ง เราจะสามารถรอดจากความบ้งทั้งหมด,combined_wav2/combined_output_2_38.wav
38,"-ness   Awfulness.  by design   By     Preventive approach Right, I think that it's a  .  Thank you very much.    Preventive I was trying to think of the word, it was  preventive'.    Right, we won t have to run around and solve all our problems,  because everything will be clear since the conversation.    And ask back for clarification.",บ้ง จริง โดย เนี่ย ธรรมชาติ จริง เราคิดว่ามันเป็นแบบว่า แนวทางป้องกัน ขอบคุณมากครับพี่ดาว ผมกำลังคิดอยู่ว่า มันคือคำว่าอะไรวะ ใช่ เราจะไม่ต้องวิ่งแก้ปัญหาประมาณล้านแปด เพราะทุกอย่างมันถูกเคลียร์ตั้งแต่ในบทสนทนาตอนที่เราฟัง แล้วก็ถามกลับว่าถูกต้องมั้ย ใช่มั้ย,combined_wav2/combined_output_2_39.wav
39," Communication   Effective   Once   we will fully understand each other,    Clear, then the problems will resolve by themselves,  or they may never occur,  but sometimes we re not on the same wavelength for communication.  Everybody is running in their own direction,  with their own good intention.",พอ เราแบบ เข้าใจตรงกัน การสื่อสารมีประสิทธิภาพ เคลียร์ หลังจากนั้นแล้วว่าปัญหาอื่นก็อาจจะถูกประวิงไป หรือว่าไม่เกิดขึ้นได้ แต่บางทีเราไม่ได้ฟังอยู่ในพื้นที่ของการสื่อสารที่แม่นยำตรงกันพอ ต่างคนต่างวิ่งออกไปทำคนละอย่าง ด้วยแบบเจตจำนงที่ดีด้วย,combined_wav2/combined_output_2_40.wav
40," Good intentions. We have all good intentions.     Right, but it s not.  So if you re not going to remember anything from today,  3   1   I d like you to remember these 3 words, first is  This is also a review for the lesson. Paraphrasing. ",ด้วยเจตจำนงที่ดีด้วย ทุกคนต่างมีเจตจำนงที่ดี ใช่ๆๆ แต่มันไม่ใช่ เพราะฉะนั้นถ้าวันนี้จะจำอะไรไม่ได้เลย อยากให้จำ คำนี้คำที่ คือคำว่า อันนี้เป็นการทบทวนบทเรียนด้วยนะครับ การสรุปใจความ,combined_wav2/combined_output_2_41.wav
